timestamp,cf_size__default,cf_size__lock,cf_size__raft,cf_size__write,CPU__basic_tikv_0,CPU__basic_tikv_1,CPU__basic_tikv_2,Duration_99__None,Handle_requests_duration_seconds_average__tso,Hot_write_Regions_leader_distribution__1,Hot_write_Regions_leader_distribution__25072,Hot_write_Regions_leader_distribution__25029,KV_Backoff_OPS__regionMiss,KV_Backoff_OPS__regionScheduling,KV_Backoff_OPS__tikvLockFast,KV_Backoff_OPS__tikvRPC,KV_Cmd_OPS__batch_get,KV_Cmd_OPS__commit,KV_Cmd_OPS__get,KV_Cmd_OPS__lock_keys,KV_Cmd_OPS__rollback,Memory__basic_tikv_0,Memory__basic_tikv_1,Memory__basic_tikv_2,Memory_Usage_HeapInuse__basic_tidb_0,Memory_Usage_HeapInuse__basic_tidb_1,Memory_Usage_process__basic_tidb_0,Memory_Usage_process__basic_tidb_1,Statement_OPS__Begin,Statement_OPS__Commit,Statement_OPS__Delete,Statement_OPS__Insert,Statement_OPS__RollBack,Statement_OPS__Select,Statement_OPS__Update,TiClient_Region_Error_OPS__epoch_not_match,TiClient_Region_Error_OPS__not_leader,TiClient_Region_Error_OPS__stale_command,TiClient_Region_Error_OPS__unknown,Transaction_OPS__commit,Transaction_OPS__rollback
1648413000,1077959455,63899863,144753291,1042335576,0.0873333333333339,0.0662222222222239,0.0624444444444432,1.6469665369649702,8.76336073368e-05,4,4,4,0.0,0.0,4.044444444444444,0.0,17.666666666666664,19.53333333333333,76.15555555555555,452.4222222222222,0.0888888888888888,4425629696.0,4691185664.0,3519012864.0,35905536,201760768,128552960,390725632,16.11111111111111,16.08888888888889,0.6444444444444444,29.22222222222222,0.0222222222222222,66.0,110.42222222222222,0.0,0.0,0.0,0.0,24.55555555555556,0.0222222222222222
1648413015,1098227295,46923850,145482947,1045690088,0.0911111111111118,0.0693333333333351,0.0640000000000003,1.563093333333334,8.46816746828e-05,4,4,4,0.0,0.0,4.733333333333333,0.0,19.133333333333333,20.355555555555554,78.71111111111111,493.6444444444444,0.0666666666666666,4423086080.0,4673560576.0,3529781248.0,37765120,201170944,129089536,390725632,17.444444444444443,17.355555555555554,0.6888888888888888,31.933333333333334,0.0444444444444444,71.06666666666666,121.42222222222222,0.0,0.0,0.0,0.0,20.266666666666666,0.0444444444444444
1648413030,1112869999,37065363,146035547,1048063160,0.0897777777777747,0.0746666666666657,0.0657777777777774,1.5645998237885417,8.50860495746e-05,4,4,4,0.0,0.0,4.2444444444444445,0.0,18.6,20.2,80.82222222222222,481.3111111111111,0.1333333333333333,4424630272.0,4746723328.0,3540033536.0,36716544,633815040,129150976,819470336,17.2,17.133333333333333,0.6666666666666666,30.95555555555556,0.0888888888888888,70.24444444444444,117.93333333333334,0.0,0.0,0.0,0.0,25.444444444444443,0.0888888888888888
1648413045,1132547391,48104891,146805323,1051274352,0.088444444444446,0.0784444444444455,0.0737777777777774,1.5941942857142806,8.55461894858e-05,4,4,4,0.0,0.0,3.9555555555555553,0.0,17.555555555555554,19.77777777777778,78.84444444444443,480.3555555555556,0.1777777777777777,4435099648.0,4729163776.0,3550867456.0,38289408,867532800,129150976,1053364224,16.91111111111111,16.8,0.5555555555555555,29.84444444444444,0.1111111111111111,68.02222222222221,111.55555555555556,0.0,0.0,0.0,0.0,25.02222222222222,0.1111111111111111
1648413060,1022158281,57500955,147517675,1053900104,0.0899999999999989,0.081555555555555,0.0759999999999991,1.6043262882096034,8.81355781827e-05,4,4,4,0.0,0.0,3.533333333333333,0.0,17.15555555555555,19.444444444444443,77.64444444444443,491.5333333333333,0.1555555555555555,4445773824.0,4583043072.0,3554836480.0,40443904,216186880,129150976,969207808,16.733333333333334,16.666666666666668,0.6444444444444444,28.88888888888889,0.0888888888888888,67.84444444444445,108.86666666666666,0.0,0.0,0.0,0.0,24.288888888888888,0.0888888888888888
1648413075,1042509249,40841830,148361795,1057046816,0.0955555555555565,0.0782222222222223,0.0766666666666656,1.5907019913419855,8.5773144622e-05,4,4,4,0.0,0.0,4.088888888888889,0.0,17.51111111111111,19.466666666666665,76.48888888888888,526.4000000000001,0.0444444444444444,4457721856.0,4592738304.0,3549528064.0,34832384,221487104,129150976,844943360,17.0,16.955555555555556,0.6666666666666666,29.755555555555556,0.0222222222222222,68.95555555555555,113.35555555555555,0.0,0.0,0.0,0.0,18.6,0.0222222222222222
1648413090,1058948577,50089382,149050907,1059640064,0.0957777777777768,0.0768888888888866,0.0677777777777766,1.6181264516128993,8.57704163118e-05,4,4,4,0.0,0.0,3.844444444444444,0.0,17.533333333333335,19.31111111111111,75.02222222222223,523.6,0.0666666666666666,4467380224.0,4604403712.0,3558813696.0,35536896,214597632,129150976,718647296,16.733333333333334,16.688888888888886,0.711111111111111,29.64444444444444,0.0222222222222222,68.42222222222222,112.48888888888888,0.0,0.0,0.0,0.0,18.133333333333333,0.0222222222222222
1648413105,1077659761,60461926,149893299,1062487024,0.0966666666666668,0.0746666666666656,0.0644444444444436,1.6242366283524805,8.55100307558e-05,4,4,4,0.0,0.0,4.533333333333333,0.0,17.62222222222222,19.466666666666665,76.26666666666667,524.1555555555556,0.0888888888888888,4479062016.0,4615479296.0,3566436352.0,38354944,213139456,129150976,593027072,16.62222222222222,16.577777777777776,0.711111111111111,29.82222222222222,0.0222222222222222,68.53333333333333,112.24444444444444,0.0,0.0,0.0,0.0,18.26666666666667,0.0222222222222222
1648413120,1093613225,69451734,150576843,1065039408,0.0913333333333321,0.0751111111111113,0.067333333333334,1.64320577617329,8.81009470658e-05,4,4,4,0.0888888888888888,0.0888888888888888,4.155555555555555,0.0,16.977777777777778,19.11111111111111,73.77777777777779,508.17777777777775,0.0888888888888888,4489637888.0,4630720512.0,3578970112.0,40673280,213999616,129150976,470888448,16.42222222222222,16.4,0.711111111111111,28.8,0.0222222222222222,67.5111111111111,107.1111111111111,0.0,0.1777777777777777,0.3555555555555555,0.1555555555555555,18.2,0.0222222222222222
1648413135,1115366481,81690526,151483891,1068462192,0.0891111111111099,0.0757777777777781,0.0733333333333358,1.6231164179104514,8.4875904166e-05,3,4,5,0.0888888888888888,0.0888888888888888,4.422222222222222,0.0,17.666666666666664,19.377777777777776,76.02222222222221,523.3333333333334,0.0222222222222222,4500160512.0,4618862592.0,3590209536.0,35676160,214884352,129687552,414543872,16.711111111111112,16.711111111111112,0.7333333333333333,29.64444444444444,0.0,69.04444444444444,112.0222222222222,0.0,0.1777777777777777,0.3555555555555555,0.1555555555555555,18.511111111111116,0.0
